CMDLINE /Users/jacob/Desktop/python_three/bin/python3 examples/game_of_life.py
MEM 49.625000 1526161612.2257
MEM 49.675781 1526161612.3303
MEM 49.738281 1526161612.4349
MEM 49.773438 1526161612.5393
MEM 49.832031 1526161612.6439
MEM 49.957031 1526161612.7483
MEM 50.011719 1526161612.8529
MEM 50.054688 1526161612.9572
MEM 50.093750 1526161613.0617
MEM 50.121094 1526161613.1662
MEM 50.152344 1526161613.2708
MEM 50.214844 1526161613.3753
MEM 50.265625 1526161613.4797
MEM 50.332031 1526161613.5842
MEM 50.386719 1526161613.6887
MEM 50.417969 1526161613.7932
MEM 50.449219 1526161613.8976
MEM 50.503906 1526161614.0022
MEM 50.550781 1526161614.1068
MEM 50.625000 1526161614.2113
MEM 50.683594 1526161614.3157
MEM 50.742188 1526161614.4202
MEM 50.824219 1526161614.5247
MEM 50.894531 1526161614.6293
MEM 50.964844 1526161614.7337
MEM 51.011719 1526161614.8382
MEM 51.082031 1526161614.9426
MEM 51.140625 1526161615.0471
MEM 51.187500 1526161615.1516
MEM 51.230469 1526161615.2561
MEM 51.281250 1526161615.3605
MEM 51.371094 1526161615.4650
MEM 51.441406 1526161615.5696
MEM 51.484375 1526161615.6740
